Fecha,Año,Mes,Dia,Trimestre,Dia_semana,semana,dia_año,Ventas
2016-03-07,2016,3,7,,2,11,,14297561.07
2016-03-08,2016,3,8,,3,11,,19577933.64
2016-03-09,2016,3,9,,4,11,,22964362.81
2016-03-10,2016,3,10,,5,11,,37736371.46
2016-03-11,2016,3,11,,6,11,,73235029.39
2016-03-12,2016,3,12,,7,11,,10481688.4
2016-03-13,2016,3,13,,1,12,,287810.61
2016-03-14,2016,3,14,,2,12,,351666593.6
2016-03-15,2016,3,15,,3,12,,182459020.9
2016-03-16,2016,3,16,,4,12,,294731509.5
2016-03-17,2016,3,17,,5,12,,535607147
2016-03-18,2016,3,18,,6,12,,22553571.04
2016-03-19,2016,3,19,,7,12,,3280334.08
2016-03-20,2016,3,20,,1,13,,329796.89
2016-03-21,2016,3,21,,2,13,,16725329.7
2016-03-22,2016,3,22,,3,13,,15597105.53
2016-03-23,2016,3,23,,4,13,,9068934.78
2016-03-24,2016,3,24,,5,13,,357165.57
2016-03-25,2016,3,25,,6,13,,4812.92
2016-03-26,2016,3,26,,7,13,,11415.2
2016-03-27,2016,3,27,,1,14,,119449.12
2016-03-28,2016,3,28,,2,14,,8280044.71
2016-03-29,2016,3,29,,3,14,,13157774.47
2016-03-30,2016,3,30,,4,14,,14970621.93
2016-03-31,2016,3,31,,5,14,,23777698.98
2016-04-01,2016,4,1,,6,14,,6743156.383
2016-04-02,2016,4,2,,7,14,,1130841.29
2016-04-03,2016,4,3,,1,15,,26735.89
2016-04-04,2016,4,4,,2,15,,4662286.066
2016-04-05,2016,4,5,,3,15,,4498043.5
2016-04-06,2016,4,6,,4,15,,6566925.979
2016-04-07,2016,4,7,,5,15,,17583500.78
2016-04-08,2016,4,8,,6,15,,22516386.31
2016-04-09,2016,4,9,,7,15,,4606157.73
2016-04-10,2016,4,10,,1,16,,135141.93
2016-04-11,2016,4,11,,2,16,,23543196.1
2016-04-12,2016,4,12,,3,16,,342583891.2
2016-04-13,2016,4,13,,4,16,,66469678.44
2016-04-14,2016,4,14,,5,16,,116993541.1
2016-04-15,2016,4,15,,6,16,,341423495.9
2016-04-16,2016,4,16,,7,16,,42894923.68
2016-04-17,2016,4,17,,1,17,,652473.1
2016-04-18,2016,4,18,,2,17,,641730117.1
2016-04-19,2016,4,19,,3,17,,20823119.07
2016-04-20,2016,4,20,,4,17,,18086610.01
2016-04-21,2016,4,21,,5,17,,7630384.07
2016-04-22,2016,4,22,,6,17,,22306657.82
2016-04-23,2016,4,23,,7,17,,3310302.192
2016-04-24,2016,4,24,,1,18,,66133.61
2016-04-25,2016,4,25,,2,18,,7772525.82
2016-04-26,2016,4,26,,3,18,,12368870.99
2016-04-27,2016,4,27,,4,18,,9695282.634
2016-04-28,2016,4,28,,5,18,,262430121
2016-04-29,2016,4,29,,6,18,,17862517.4
2016-04-30,2016,4,30,,7,18,,11797605.08
2016-05-01,2016,5,1,,1,19,,933626.06
2016-05-02,2016,5,2,,2,19,,184828.29
2016-05-03,2016,5,3,,3,19,,4390799.558
2016-05-04,2016,5,4,,4,19,,5342531.961
2016-05-05,2016,5,5,,5,19,,5697536.518
2016-05-06,2016,5,6,,6,19,,13079776.68
2016-05-07,2016,5,7,,7,19,,2062801.712
2016-05-08,2016,5,8,,1,20,,45749.48
2016-05-09,2016,5,9,,2,20,,15996682.05
2016-05-10,2016,5,10,,3,20,,20878468.36
2016-05-11,2016,5,11,,4,20,,36284325.13
2016-05-12,2016,5,12,,5,20,,68827449.51
2016-05-13,2016,5,13,,6,20,,171252629.8
2016-05-14,2016,5,14,,7,20,,30475781.03
